Filename,Predictions
has\2021-07-09-2021-07-15_graph_AAPL_30_day.png,1.0
has\2021-07-09-2021-07-16_graph_AAPL_30_day.png,0.9919999837875366
has\2021-07-12-2021-07-16_graph_AAPL_30_day.png,0.9980000257492065
has\2021-07-12-2021-07-19_graph_AAPL_30_day.png,0.9940000176429749
has\2021-07-13-2021-07-19_graph_AAPL_30_day.png,0.9990000128746033
has\2021-07-13-2021-07-20_graph_AAPL_30_day.png,0.9990000128746033
has\2021-07-14-2021-07-20_graph_AAPL_30_day.png,0.9990000128746033
has\2021-07-14-2021-07-21_graph_AAPL_30_day.png,0.9990000128746033
has\2021-07-15-2021-07-21_graph_AAPL_30_day.png,1.0
has\2021-07-15-2021-07-22_graph_AAPL_30_day.png,1.0
has\2021-07-16-2021-07-22_graph_AAPL_30_day.png,1.0
has\2021-07-16-2021-07-23_graph_AAPL_30_day.png,1.0
has\2021-07-19-2021-07-23_graph_AAPL_30_day.png,0.9990000128746033
has\2021-07-19-2021-07-26_graph_AAPL_30_day.png,0.9980000257492065
has\2021-07-20-2021-07-26_graph_AAPL_30_day.png,0.9990000128746033
has\2021-07-20-2021-07-27_graph_AAPL_30_day.png,1.0
has\2021-07-21-2021-07-27_graph_AAPL_30_day.png,1.0
has\2021-07-21-2021-07-28_graph_AAPL_30_day.png,1.0
has\2021-07-22-2021-07-28_graph_AAPL_30_day.png,1.0
has\2021-07-22-2021-07-29_graph_AAPL_30_day.png,1.0
has\2021-07-23-2021-07-29_graph_AAPL_30_day.png,1.0
has\2021-07-23-2021-07-30_graph_AAPL_30_day.png,1.0
has\2021-07-26-2021-07-30_graph_AAPL_30_day.png,1.0
has\2021-07-26-2021-08-02_graph_AAPL_30_day.png,1.0
has\2021-07-27-2021-08-02_graph_AAPL_30_day.png,1.0
has\2021-07-27-2021-08-03_graph_AAPL_30_day.png,1.0
has\2021-07-28-2021-08-03_graph_AAPL_30_day.png,1.0
has\2021-07-28-2021-08-04_graph_AAPL_30_day.png,1.0
has\2021-07-29-2021-08-04_graph_AAPL_30_day.png,1.0
has\2021-07-29-2021-08-05_graph_AAPL_30_day.png,1.0
has\2021-07-30-2021-08-05_graph_AAPL_30_day.png,1.0
has\2021-07-30-2021-08-06_graph_AAPL_30_day.png,1.0
has\2021-08-02-2021-08-06_graph_AAPL_30_day.png,1.0
has\2021-08-02-2021-08-09_graph_AAPL_30_day.png,0.9990000128746033
has\2021-08-03-2021-08-09_graph_AAPL_30_day.png,1.0
has\2021-08-03-2021-08-10_graph_AAPL_30_day.png,1.0
has\2021-08-04-2021-08-10_graph_AAPL_30_day.png,1.0
has\2021-08-04-2021-08-11_graph_AAPL_30_day.png,1.0
has\2021-08-05-2021-08-11_graph_AAPL_30_day.png,1.0
has\2021-08-05-2021-08-12_graph_AAPL_30_day.png,1.0
has\2021-08-06-2021-08-12_graph_AAPL_30_day.png,1.0
has\2021-08-06-2021-08-13_graph_AAPL_30_day.png,1.0
has\2021-08-09-2021-08-13_graph_AAPL_30_day.png,1.0
has\2021-08-09-2021-08-16_graph_AAPL_30_day.png,1.0
has\2021-08-10-2021-08-16_graph_AAPL_30_day.png,1.0
has\2021-08-10-2021-08-17_graph_AAPL_30_day.png,1.0
has\2021-08-11-2021-08-17_graph_AAPL_30_day.png,1.0
has\2021-08-11-2021-08-18_graph_AAPL_30_day.png,1.0
has\2021-08-12-2021-08-18_graph_AAPL_30_day.png,1.0
has\2021-08-12-2021-08-19_graph_AAPL_30_day.png,1.0
has\2021-08-13-2021-08-19_graph_AAPL_30_day.png,1.0
has\2021-08-13-2021-08-20_graph_AAPL_30_day.png,1.0
has\2021-08-16-2021-08-20_graph_AAPL_30_day.png,1.0
has\2021-08-16-2021-08-23_graph_AAPL_30_day.png,0.9990000128746033
has\2021-08-17-2021-08-23_graph_AAPL_30_day.png,0.9990000128746033
has\2021-08-17-2021-08-24_graph_AAPL_30_day.png,1.0
has\2021-08-18-2021-08-24_graph_AAPL_30_day.png,1.0
has\2021-08-18-2021-08-25_graph_AAPL_30_day.png,1.0
has\2021-08-19-2021-08-25_graph_AAPL_30_day.png,1.0
has\2021-08-19-2021-08-26_graph_AAPL_30_day.png,1.0
has\2021-08-20-2021-08-26_graph_AAPL_30_day.png,1.0
has\2021-08-20-2021-08-27_graph_AAPL_30_day.png,1.0
has\2021-08-23-2021-08-27_graph_AAPL_30_day.png,1.0
has\2021-08-23-2021-08-30_graph_AAPL_30_day.png,1.0
has\2021-08-24-2021-08-30_graph_AAPL_30_day.png,1.0
has\2021-08-24-2021-08-31_graph_AAPL_30_day.png,1.0
has\2021-08-25-2021-08-31_graph_AAPL_30_day.png,1.0
has\2021-08-25-2021-09-01_graph_AAPL_30_day.png,1.0
has\2021-08-26-2021-09-01_graph_AAPL_30_day.png,1.0
has\2021-08-26-2021-09-02_graph_AAPL_30_day.png,1.0
has\2021-08-27-2021-09-02_graph_AAPL_30_day.png,1.0
has\2021-08-27-2021-09-03_graph_AAPL_30_day.png,1.0
has\2021-08-30-2021-09-03_graph_AAPL_30_day.png,1.0
has\2021-08-30-2021-09-07_graph_AAPL_30_day.png,1.0
has\2021-08-31-2021-09-07_graph_AAPL_30_day.png,1.0
has\2021-08-31-2021-09-08_graph_AAPL_30_day.png,1.0
has\2021-09-01-2021-09-08_graph_AAPL_30_day.png,1.0
has\2021-09-01-2021-09-09_graph_AAPL_30_day.png,1.0
has\2021-09-02-2021-09-09_graph_AAPL_30_day.png,1.0
has\2021-09-02-2021-09-10_graph_AAPL_30_day.png,1.0
has\2021-09-03-2021-09-10_graph_AAPL_30_day.png,1.0
has\2021-09-03-2021-09-13_graph_AAPL_30_day.png,1.0
has\2021-09-07-2021-09-13_graph_AAPL_30_day.png,1.0
